Pickup Community Area,Dropoff Community Area,Fare,Trip Seconds,Trip Miles,
7,24,24,1345,8.44,
24,3,15,1101,9.1,
3,8,17,685,8.5,
8,24,9,1256,2.23,
8,56,5,1800,4,
56,3,11,829,3.79,
56,32,3,357,16.75,
56,43,6,660,3,
32,43,10,762,0.3,
43,7,3.25,1201,0.15,
8,7,113,693,1.5,
24,7,25,1344,8.22,
3,32,31,356,16.85,
3,24,14,1100,9.5,
8,3,18,684,8.2,
24,8,8,1255,2.13,
56,8,6,1799,3,
32,56,2,356,17.05,
32,3,30,357,16.75,
3,56,10,830,3.89,
43,56,7,659,2.95,
43,32,9,763,0.5,
7,43,4.25,1200,0.45,
7,8,112,694,1.7,
8,43,13,945,2.15,
43,8,13,946,1.95,
